@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE directionTaken {0,1,2,3}
@ATTRIBUTE futureScore NUMERIC

@DATA
8.0,4.0,14.0,4.0,6.0,6.0,1.0,3.0,19.0,15.0,0,553.0
8.0,5.0,14.0,4.0,7.0,6.0,1.0,3.0,19.0,15.0,0,552.0
8.0,6.0,6.0,4.0,7.0,5.0,1.0,3.0,19.0,15.0,0,551.0
7.0,6.0,7.0,4.0,6.0,3.0,1.0,3.0,19.0,15.0,2,550.0
6.0,6.0,7.0,3.0,6.0,3.0,1.0,3.0,19.0,15.0,2,549.0
5.0,6.0,7.0,2.0,6.0,3.0,1.0,3.0,19.0,15.0,2,548.0
4.0,6.0,15.0,1.0,6.0,3.0,1.0,3.0,19.0,15.0,2,547.0
3.0,6.0,15.0,2.0,6.0,1.0,1.0,3.0,19.0,15.0,0,547.0
1.0,3.0,9.0,2.0,8.0,6.0,1.0,3.0,8.0,11.0,0,-1.0
1.0,4.0,13.0,1.0,8.0,4.0,1.0,3.0,8.0,11.0,0,-2.0
1.0,5.0,13.0,1.0,7.0,2.0,1.0,3.0,8.0,11.0,0,-3.0
1.0,6.0,13.0,1.0,7.0,1.0,1.0,3.0,8.0,11.0,0,296.0
1.0,7.0,13.0,3.0,6.0,2.0,1.0,3.0,8.0,11.0,0,295.0
2.0,7.0,15.0,2.0,6.0,2.0,1.0,3.0,8.0,11.0,3,294.0
2.0,6.0,15.0,1.0,6.0,1.0,1.0,3.0,8.0,11.0,1,493.0
1.0,6.0,13.0,1.0,9.0,3.0,1.0,3.0,8.0,11.0,2,492.0
1.0,7.0,13.0,1.0,8.0,1.0,1.0,3.0,8.0,11.0,0,691.0
1.0,8.0,13.0,4.0,9.0,4.0,1.0,3.0,8.0,11.0,0,790.0
1.0,9.0,13.0,5.0,9.0,4.0,1.0,3.0,8.0,11.0,0,789.0
2.0,9.0,15.0,5.0,10.0,4.0,1.0,3.0,8.0,11.0,3,788.0
2.0,10.0,7.0,5.0,10.0,3.0,1.0,3.0,8.0,11.0,0,787.0
3.0,10.0,7.0,6.0,10.0,3.0,1.0,3.0,8.0,11.0,3,786.0
4.0,10.0,7.0,6.0,10.0,2.0,1.0,3.0,8.0,11.0,3,785.0
5.0,10.0,7.0,7.0,10.0,2.0,1.0,3.0,8.0,11.0,0,785.0
1.0,18.0,5.0,5.0,9.0,13.0,1.0,3.0,29.0,19.0,1,-1.0
1.0,17.0,12.0,4.0,9.0,11.0,1.0,3.0,29.0,19.0,1,-2.0
1.0,16.0,13.0,4.0,10.0,9.0,1.0,3.0,29.0,19.0,1,-3.0
1.0,15.0,13.0,5.0,10.0,9.0,1.0,3.0,29.0,19.0,1,-4.0
1.0,14.0,13.0,6.0,10.0,9.0,1.0,3.0,29.0,19.0,1,-5.0
1.0,13.0,12.0,6.0,10.0,8.0,1.0,3.0,29.0,19.0,1,-6.0
1.0,12.0,13.0,5.0,10.0,6.0,1.0,3.0,29.0,19.0,1,-7.0
1.0,11.0,12.0,5.0,10.0,5.0,1.0,3.0,29.0,19.0,1,-8.0
