@RELATION pacmanGameStates

@ATTRIBUTE numActions NUMERIC
@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE numFood NUMERIC
@ATTRIBUTE distFood NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E,X}

@DATA
48.0,7.0,8.0,7.0,4.0,6.0,5.0,0.0,0.0,553.0,W
49.0,6.0,8.0,7.0,3.0,6.0,5.0,0.0,0.0,552.0,W
50.0,5.0,8.0,23.0,4.0,6.0,3.0,0.0,0.0,551.0,W
51.0,4.0,8.0,31.0,5.0,6.0,3.0,0.0,0.0,550.0,W
52.0,4.0,7.0,29.0,4.0,6.0,1.0,0.0,0.0,549.0,X
1.0,1.0,3.0,19.0,2.0,8.0,6.0,5.0,2.0,0.0,X
2.0,1.0,4.0,27.0,2.0,8.0,5.0,5.0,3.0,-1.0,N
3.0,1.0,5.0,27.0,2.0,7.0,3.0,5.0,2.0,-2.0,N
4.0,1.0,6.0,27.0,1.0,7.0,1.0,5.0,1.0,-3.0,N
5.0,1.0,7.0,27.0,1.0,9.0,2.0,4.0,2.0,296.0,N
6.0,1.0,8.0,27.0,1.0,9.0,1.0,4.0,1.0,495.0,N
7.0,1.0,9.0,27.0,2.0,8.0,3.0,3.0,2.0,794.0,N
8.0,2.0,9.0,31.0,2.0,7.0,1.0,3.0,1.0,793.0,X
1.0,1.0,18.0,11.0,5.0,9.0,13.0,0.0,0.0,0.0,X
2.0,1.0,17.0,25.0,5.0,8.0,13.0,0.0,0.0,-1.0,S
3.0,1.0,16.0,27.0,6.0,8.0,13.0,0.0,0.0,-2.0,S
4.0,1.0,15.0,27.0,6.0,8.0,12.0,0.0,0.0,-3.0,S
5.0,1.0,14.0,27.0,6.0,8.0,11.0,0.0,0.0,-4.0,S
6.0,1.0,13.0,25.0,6.0,8.0,10.0,0.0,0.0,-5.0,S
7.0,1.0,12.0,27.0,6.0,9.0,8.0,0.0,0.0,-6.0,S
8.0,1.0,11.0,25.0,6.0,9.0,7.0,0.0,0.0,-7.0,S
9.0,1.0,10.0,25.0,6.0,10.0,5.0,0.0,0.0,-8.0,S
10.0,1.0,9.0,25.0,6.0,9.0,5.0,0.0,0.0,-9.0,S
11.0,1.0,8.0,25.0,5.0,9.0,5.0,0.0,0.0,-10.0,S
12.0,1.0,7.0,25.0,4.0,9.0,5.0,0.0,0.0,-11.0,S
13.0,1.0,6.0,27.0,4.0,9.0,6.0,0.0,0.0,-12.0,S
14.0,2.0,6.0,15.0,4.0,9.0,5.0,0.0,0.0,-13.0,E
15.0,3.0,6.0,31.0,5.0,9.0,5.0,0.0,0.0,-14.0,E
16.0,3.0,7.0,27.0,5.0,9.0,4.0,0.0,0.0,-15.0,N
17.0,3.0,8.0,27.0,5.0,9.0,3.0,0.0,0.0,-16.0,N
18.0,3.0,9.0,27.0,5.0,8.0,3.0,0.0,0.0,-17.0,N
19.0,4.0,9.0,31.0,4.0,8.0,1.0,0.0,0.0,-18.0,E
20.0,4.0,8.0,31.0,8.0,3.0,9.0,0.0,0.0,181.0,S
21.0,5.0,8.0,31.0,8.0,3.0,8.0,0.0,0.0,180.0,E
22.0,6.0,8.0,29.0,8.0,3.0,7.0,0.0,0.0,179.0,E
23.0,6.0,7.0,29.0,8.0,4.0,5.0,0.0,0.0,178.0,S
24.0,6.0,6.0,23.0,9.0,4.0,5.0,0.0,0.0,177.0,S
25.0,7.0,6.0,7.0,8.0,4.0,3.0,0.0,0.0,176.0,E
26.0,8.0,6.0,31.0,8.0,3.0,3.0,0.0,0.0,175.0,E
27.0,8.0,5.0,27.0,8.0,3.0,2.0,0.0,0.0,174.0,S
28.0,8.0,4.0,27.0,7.0,3.0,2.0,0.0,0.0,173.0,S
29.0,8.0,3.0,23.0,7.0,3.0,1.0,0.0,0.0,172.0,S
30.0,7.0,3.0,7.0,18.0,3.0,11.0,0.0,0.0,371.0,W
31.0,8.0,3.0,23.0,19.0,3.0,11.0,0.0,0.0,370.0,E
32.0,8.0,4.0,27.0,19.0,4.0,11.0,0.0,0.0,369.0,N
33.0,8.0,5.0,27.0,19.0,5.0,11.0,0.0,0.0,368.0,N
34.0,8.0,6.0,31.0,18.0,5.0,11.0,0.0,0.0,367.0,N
35.0,8.0,7.0,27.0,18.0,6.0,11.0,0.0,0.0,366.0,N
36.0,8.0,8.0,27.0,18.0,5.0,13.0,0.0,0.0,365.0,N
37.0,8.0,9.0,27.0,18.0,4.0,15.0,0.0,0.0,364.0,N
38.0,8.0,10.0,27.0,23.0,10.0,14.0,0.0,0.0,363.0,N
39.0,8.0,11.0,27.0,22.0,10.0,14.0,0.0,0.0,362.0,N
40.0,8.0,12.0,31.0,18.0,6.0,16.0,0.0,0.0,361.0,N
41.0,9.0,12.0,31.0,19.0,6.0,16.0,0.0,0.0,360.0,E
42.0,10.0,12.0,31.0,18.0,6.0,14.0,0.0,0.0,359.0,E
43.0,11.0,12.0,15.0,17.0,6.0,12.0,0.0,0.0,358.0,E
44.0,12.0,12.0,7.0,17.0,6.0,11.0,0.0,0.0,357.0,E
45.0,13.0,12.0,15.0,16.0,6.0,9.0,0.0,0.0,356.0,E
46.0,14.0,12.0,31.0,17.0,6.0,9.0,0.0,0.0,355.0,E
47.0,14.0,11.0,31.0,16.0,6.0,7.0,0.0,0.0,354.0,S
48.0,14.0,10.0,31.0,15.0,6.0,5.0,0.0,0.0,353.0,S
49.0,14.0,9.0,29.0,14.0,6.0,3.0,0.0,0.0,352.0,S
50.0,14.0,8.0,31.0,14.0,7.0,1.0,0.0,0.0,351.0,S
51.0,14.0,7.0,29.0,25.0,11.0,16.0,0.0,0.0,550.0,S
52.0,14.0,8.0,31.0,26.0,11.0,14.0,0.0,0.0,549.0,N
53.0,14.0,9.0,29.0,26.0,10.0,12.0,0.0,0.0,548.0,N
54.0,14.0,10.0,31.0,26.0,9.0,12.0,0.0,0.0,547.0,N
55.0,15.0,10.0,23.0,25.0,9.0,12.0,0.0,0.0,546.0,E
56.0,16.0,10.0,23.0,25.0,8.0,12.0,0.0,0.0,545.0,E
57.0,17.0,10.0,23.0,25.0,7.0,10.0,0.0,0.0,544.0,E
58.0,18.0,10.0,23.0,25.0,8.0,8.0,0.0,0.0,543.0,E
59.0,19.0,10.0,23.0,24.0,8.0,8.0,0.0,0.0,542.0,E
60.0,20.0,10.0,23.0,25.0,8.0,6.0,0.0,0.0,541.0,E
61.0,21.0,10.0,7.0,25.0,9.0,6.0,0.0,0.0,540.0,E
62.0,22.0,10.0,23.0,25.0,8.0,4.0,0.0,0.0,539.0,E
63.0,23.0,10.0,31.0,24.0,8.0,4.0,0.0,0.0,538.0,E
64.0,24.0,10.0,31.0,24.0,7.0,2.0,0.0,0.0,537.0,E
65.0,24.0,9.0,31.0,24.0,8.0,2.0,0.0,0.0,536.0,S
66.0,24.0,8.0,31.0,24.0,7.0,2.0,0.0,0.0,535.0,X
1.0,1.0,18.0,11.0,5.0,9.0,13.0,0.0,0.0,0.0,X
2.0,1.0,17.0,25.0,4.0,9.0,11.0,0.0,0.0,-1.0,S
3.0,1.0,16.0,27.0,4.0,8.0,11.0,0.0,0.0,-2.0,S
4.0,1.0,15.0,27.0,4.0,9.0,9.0,0.0,0.0,-3.0,S
5.0,1.0,14.0,27.0,4.0,9.0,8.0,0.0,0.0,-4.0,S
6.0,1.0,13.0,25.0,3.0,9.0,6.0,0.0,0.0,-5.0,S
7.0,1.0,12.0,27.0,4.0,9.0,6.0,0.0,0.0,-6.0,S
8.0,1.0,11.0,25.0,5.0,9.0,6.0,0.0,0.0,-7.0,S
