@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E}

@DATA
22,10,11,25,9,1,3,29,19,3,E
23,10,15,25,10,1,3,29,19,3,E
24,10,15,25,11,1,3,29,19,2,E
24,11,7,25,11,1,3,29,19,2,N
25,11,7,25,10,1,3,29,19,2,E
25,10,15,24,10,1,3,29,19,2,S
1,18,5,5,9,1,3,29,19,13,S
1,17,12,5,8,1,3,29,19,13,S
1,16,13,4,8,1,3,29,19,11,S
1,15,13,5,8,1,3,29,19,11,S
1,14,13,5,8,1,3,29,19,10,S
1,13,12,1,3,1,3,29,19,10,S
1,12,13,5,8,1,3,29,19,8,S
1,11,12,4,8,1,3,29,19,6,S
1,10,12,1,4,1,3,29,19,6,S
1,9,12,4,8,1,3,29,19,4,S
1,8,12,1,5,1,3,29,19,3,S
1,7,12,1,6,1,3,29,19,1,S
1,6,13,1,3,1,3,29,19,3,S
1,5,13,1,4,1,3,29,19,1,S
1,4,13,5,6,1,3,29,19,5,S
1,5,13,4,6,1,3,29,19,3,N
1,6,13,3,6,1,3,29,19,3,N
2,6,7,3,5,1,3,29,19,2,E
3,6,15,3,8,1,3,29,19,2,E
3,7,13,3,9,1,3,29,19,2,N
3,8,13,5,5,1,3,29,19,4,N
4,8,15,4,5,1,3,29,19,3,E
4,7,15,4,5,1,3,29,19,1,S
14,12,2,16,12,1,3,19,13,2,W
13,12,3,16,12,1,3,19,13,3,W
12,12,3,16,11,1,3,19,13,5,W
11,12,3,16,12,1,3,19,13,5,W
10,12,3,17,12,1,3,19,13,6,W
9,12,3,16,12,1,3,19,13,7,W
8,12,3,16,12,1,3,19,13,8,W
7,12,3,16,12,1,3,19,13,9,W
6,12,3,16,12,1,3,19,13,10,W
5,12,3,16,12,1,3,19,13,11,W
4,12,3,17,12,1,3,19,13,13,W
3,12,3,17,12,1,3,19,13,14,W
2,12,7,17,12,1,3,19,13,14,W
2,11,14,16,12,1,3,19,13,14,S
2,10,14,16,11,1,3,19,13,15,S
2,9,14,17,9,1,3,19,13,15,S
2,8,14,15,10,1,3,19,13,15,S
2,7,14,15,9,1,3,19,13,15,S
2,6,14,15,8,1,3,19,13,15,S
2,5,14,14,8,1,3,19,13,15,S
2,4,14,14,8,1,3,19,13,16,S
2,3,14,14,7,1,3,19,13,16,S
