@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E,X}

@DATA
12,13,31,6,12,7,W
12,12,31,15,10,5,S
13,12,31,15,11,3,E
14,12,31,15,10,3,E
15,12,31,16,10,3,E
16,12,31,17,10,3,E
17,12,31,17,10,2,E
17,11,31,16,10,2,S
17,10,31,16,11,2,S
17,11,31,16,11,1,N
16,11,31,5,12,12,W
16,12,31,5,12,11,N
15,12,31,5,12,10,W
14,12,31,5,11,10,W
14,11,31,6,11,8,S
13,11,31,5,11,8,W
12,11,31,5,11,7,W
11,11,31,4,11,7,W
10,11,31,4,11,6,W
9,11,31,4,11,5,W
8,11,31,5,11,3,W
7,11,31,5,11,2,W
6,11,31,5,11,1,W
5,11,23,8,6,8,W
6,11,31,8,5,8,E
7,11,31,8,5,7,E
8,11,31,9,5,7,E
9,11,31,9,5,6,E
9,10,31,10,5,6,S
10,10,31,9,5,6,E
10,9,31,9,6,4,S
10,8,31,8,6,4,S
10,7,31,8,5,4,S
10,6,31,8,4,4,S
10,5,31,7,4,4,S
10,4,31,8,4,2,S
9,4,31,8,3,2,W
9,3,23,7,3,2,S
8,3,23,7,3,1,W
12,10,31,13,12,3,X
12,11,31,13,12,1,N
12,12,31,12,5,7,N
12,11,31,13,5,7,S
13,11,31,14,5,7,E
14,11,31,13,5,7,E
14,10,31,13,4,7,S
14,9,31,13,3,7,S
14,8,31,12,3,7,S
14,7,31,12,4,5,S
14,6,31,13,4,3,S
14,5,31,12,4,3,S
14,4,31,12,5,3,S
14,5,31,12,4,3,N
14,4,31,11,4,3,S
13,4,31,11,5,3,W
13,5,31,12,5,1,N
12,5,31,6,12,13,W
12,6,31,2,9,13,N
12,7,31,2,9,12,N
12,8,31,6,13,11,N
12,9,31,7,13,9,N
12,10,31,7,13,8,N
12,11,31,8,13,6,N
12,12,31,8,12,4,N
11,12,31,9,12,2,W
10,12,31,9,13,2,W
10,13,31,9,14,2,N
10,14,15,9,14,1,N
9,14,15,2,8,13,W
9,13,31,2,8,12,S
9,12,31,2,8,11,S
9,11,31,2,9,9,S
9,10,31,1,9,9,S
9,9,31,1,9,8,S
8,9,31,2,9,6,W
7,9,31,2,9,5,W
6,9,31,1,9,5,W
5,9,15,2,9,3,W
4,9,15,2,8,3,W
4,8,31,3,8,1,S
12,10,31,13,12,3,X
12,11,31,13,12,1,N
12,12,31,6,12,6,N
11,12,31,5,12,6,W
10,12,31,4,12,6,W
9,12,31,4,12,5,W
8,12,31,4,11,5,W
8,11,31,3,11,5,S
7,11,31,4,11,3,W
6,11,31,4,12,3,W
6,12,31,3,12,3,N
5,12,31,3,13,3,W
5,13,31,4,13,1,N
4,13,31,4,5,8,W
5,13,31,4,4,10,E
6,13,31,4,3,12,E
6,12,31,4,3,11,S
6,11,31,3,3,11,S
6,10,27,3,3,10,S
6,9,31,2,3,10,S
6,8,31,2,3,9,S
6,7,31,2,4,7,S
6,6,31,2,3,7,S
6,5,31,3,3,5,S
6,4,31,3,3,4,S
6,3,23,4,3,2,S
5,3,23,4,4,2,W
5,4,31,16,5,12,N
5,5,31,15,5,10,N
6,5,31,15,4,10,E
7,5,31,15,4,9,E
8,5,31,16,4,9,E
9,5,31,15,4,7,E
10,5,31,15,5,5,E
11,5,31,16,5,5,E
12,5,31,16,4,5,E
13,5,31,16,4,4,E
14,5,31,16,3,4,E
15,5,31,17,3,4,E
16,5,31,18,3,4,E
17,5,31,18,3,3,E
18,5,29,18,4,1,E
12,10,31,13,12,3,X
12,11,31,13,12,3,N
12,12,31,13,13,3,N
12,13,31,14,13,1,N
13,13,31,13,7,6,E
13,12,31,13,6,6,S
13,11,31,13,5,6,S
13,10,31,12,5,6,S
13,9,31,12,4,6,S
13,8,31,11,4,6,S
13,7,31,12,4,4,S
13,6,31,11,4,4,S
13,5,31,11,4,3,S
13,4,31,11,3,3,S
13,3,23,12,3,1,S
12,3,23,4,4,9,W
12,4,31,4,3,9,N
12,3,23,4,4,9,S
12,4,31,4,3,9,N
12,3,23,4,3,8,S
11,3,23,5,3,6,W
10,3,23,5,4,6,W
10,4,31,6,4,4,N
9,4,31,5,4,4,W
8,4,31,6,4,2,W
7,4,31,6,4,1,W
6,4,31,5,14,11,W
6,5,31,6,14,9,N
6,6,31,6,14,8,N
6,7,31,5,14,8,N
6,8,31,5,14,7,N
6,9,31,5,13,5,N
6,10,27,5,12,3,N
6,11,31,5,11,1,N
12,10,31,13,12,3,X
12,11,31,13,12,1,N
12,12,31,13,11,3,N
13,12,31,14,11,1,E
14,12,31,13,11,1,E
14,11,31,13,12,1,S
14,12,31,13,11,3,N
14,11,31,12,11,2,S
13,11,31,12,11,2,W
12,11,31,11,11,2,W
11,11,31,8,8,6,W
11,10,31,7,8,6,S
11,9,31,7,8,5,S
11,8,31,7,7,5,S
11,7,31,7,6,5,S
11,6,31,8,6,3,S
10,6,31,8,6,2,W
9,6,31,3,5,7,W
9,5,31,2,5,7,S
8,5,31,2,5,6,W
7,5,31,1,5,6,W
6,5,31,1,4,6,W
6,4,31,1,3,6,S
6,3,23,2,3,4,S
5,3,23,3,3,2,W
4,3,23,2,3,2,W
3,3,23,2,4,2,W
3,4,31,2,4,1,N
2,4,31,4,13,11,W
2,5,31,5,13,11,N
2,6,31,6,13,11,N
2,7,31,6,12,9,N
2,8,31,6,11,7,N
2,9,15,6,10,5,N
3,9,15,6,11,5,E
4,9,15,6,12,5,E
5,9,15,5,12,3,E
6,9,31,5,13,5,E
6,10,27,5,13,4,N
6,11,31,4,13,4,N
6,12,31,3,13,4,N
