@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E}
@ATTRIBUTE futureScore NUMERIC

@DATA
12,12,3,23,5,18,1,3,29,19,E,366
13,12,7,23,4,18,1,3,29,19,E,365
14,12,15,28,9,16,1,3,29,19,E,364
15,12,7,23,5,15,1,3,29,19,E,363
16,12,7,23,5,14,1,3,29,19,E,362
17,12,15,23,5,13,1,3,29,19,E,361
18,12,15,23,6,11,1,3,29,19,E,360
19,12,15,23,7,9,1,3,29,19,E,359
20,12,14,23,7,8,1,3,29,19,E,358
20,11,14,23,6,8,1,3,29,19,S,357
20,10,11,23,7,6,1,3,29,19,S,356
21,10,3,24,7,6,1,3,29,19,E,355
22,10,11,24,6,6,1,3,29,19,E,354
23,10,15,23,6,4,1,3,29,19,E,353
23,9,13,23,6,3,1,3,29,19,S,352
23,8,15,23,5,3,1,3,29,19,S,351
23,7,13,24,5,3,1,3,29,19,S,350
24,7,15,25,5,3,1,3,29,19,E,349
25,7,15,25,4,3,1,3,29,19,E,348
25,6,15,24,4,3,1,3,29,19,S,347
25,5,15,24,3,3,1,3,29,19,S,346
25,4,15,25,3,1,1,3,29,19,S,545
25,3,11,27,5,3,1,3,29,19,S,544
25,4,15,27,4,3,1,3,29,19,N,543
26,4,15,28,4,1,1,3,29,19,N,543
1,18,5,5,9,13,1,3,29,19,S,-1
1,17,12,6,9,13,1,3,29,19,S,-2
1,16,13,6,10,11,1,3,29,19,S,-3
1,15,13,6,10,10,1,3,29,19,S,-4
1,14,13,6,9,10,1,3,29,19,S,-5
1,13,12,6,10,8,1,3,29,19,S,-6
1,12,13,6,9,8,1,3,29,19,S,-7
1,11,12,2,4,8,1,3,29,19,S,-8
1,10,12,2,4,7,1,3,29,19,S,-9
1,9,12,1,4,5,1,3,29,19,S,-10
1,8,12,1,5,3,1,3,29,19,S,-11
1,7,12,1,4,3,1,3,29,19,S,-12
1,6,13,1,5,1,1,3,29,19,S,187
1,5,13,4,3,5,1,3,29,19,S,186
2,5,15,4,4,3,1,3,29,19,E,185
3,5,15,5,4,3,1,3,29,19,E,184
4,5,15,4,4,1,1,3,29,19,E,383
4,4,15,4,8,3,1,3,29,19,S,382
4,5,15,4,7,3,1,3,29,19,N,381
4,6,15,4,8,3,1,3,29,19,N,380
4,7,15,5,8,2,1,3,29,19,N,579
4,8,15,6,8,2,1,3,29,19,N,578
5,8,15,6,8,2,1,3,29,19,E,577
6,8,14,6,9,1,1,3,29,19,N,577
9,1,3,9,7,6,1,3,19,12,E,99
8,1,3,9,7,7,1,3,19,12,W,198
7,1,3,9,8,9,1,3,19,12,W,297
6,1,9,9,8,10,1,3,19,12,W,396
6,2,12,9,8,9,1,3,19,12,N,495
6,3,15,9,7,7,1,3,19,12,N,594
6,4,14,9,7,6,1,3,19,12,N,693
6,5,14,9,8,6,1,3,19,12,N,792
6,6,14,9,8,5,1,3,19,12,N,891
6,7,15,9,7,3,1,3,19,12,N,890
7,7,3,10,7,3,1,3,19,12,E,889
8,7,3,9,7,1,1,3,19,12,E,1088
9,7,11,10,7,1,1,3,19,12,E,1487
10,7,11,10,10,4,1,3,19,12,E,1486
10,8,14,9,10,4,1,3,19,12,N,1585
10,9,14,9,11,2,1,3,19,12,N,1585
12,10,3,13,12,3,1,3,19,15,E,-1
13,10,7,13,12,2,1,3,19,15,E,-2
14,10,7,13,12,4,1,3,19,15,E,-3
15,10,15,12,12,4,1,3,19,15,E,-4
15,11,13,13,12,3,1,3,19,15,N,-5
15,12,13,13,12,2,1,3,19,15,N,-6
15,13,13,13,12,4,1,3,19,15,N,-7
15,14,7,12,12,6,1,3,19,15,N,-8
14,14,3,11,12,4,1,3,19,15,W,-9
13,14,3,12,12,4,1,3,19,15,W,-10
12,14,3,11,12,4,1,3,19,15,W,-11
11,14,3,10,12,3,1,3,19,15,W,-12
10,14,7,10,12,1,1,3,19,15,W,187
10,13,14,8,12,3,1,3,19,15,S,186
10,12,11,8,13,3,1,3,19,15,S,185
10,13,14,8,12,3,1,3,19,15,N,184
10,12,11,8,13,3,1,3,19,15,S,183
10,13,14,9,13,1,1,3,19,15,N,382
9,13,15,6,6,10,1,3,19,15,W,381
9,14,7,5,6,12,1,3,19,15,N,380
8,14,7,6,6,10,1,3,19,15,W,379
7,14,3,5,6,10,1,3,19,15,W,378
6,14,3,4,6,10,1,3,19,15,W,377
5,14,3,4,6,9,1,3,19,15,W,376
4,14,3,3,6,9,1,3,19,15,W,375
3,14,7,4,6,9,1,3,19,15,W,374
3,13,14,4,7,7,1,3,19,15,S,373
3,12,14,3,7,5,1,3,19,15,S,372
3,11,14,3,6,5,1,3,19,15,S,371
3,10,15,2,6,5,1,3,19,15,S,370
3,9,15,2,6,4,1,3,19,15,S,369
3,8,15,2,5,4,1,3,19,15,S,368
3,7,15,1,5,4,1,3,19,15,S,367
3,6,15,1,5,3,1,3,19,15,S,366
3,5,15,1,6,3,1,3,19,15,S,365
3,6,15,1,5,3,1,3,19,15,N,364
