@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E}
@ATTRIBUTE futureScore NUMERIC

@DATA
2,3,11,2,4,2,1,3,8,11,E,94
3,3,11,3,4,2,1,3,8,11,E,93
3,4,15,2,4,2,1,3,8,11,N,192
3,5,15,2,3,3,1,3,8,11,N,191
2,5,15,2,3,1,1,3,8,11,W,190
1,5,13,2,4,1,1,3,8,11,W,189
1,5,13,1,4,1,1,3,8,11,W,388
1,4,13,1,9,5,1,3,8,11,S,387
1,3,9,1,9,6,1,3,8,11,S,386
2,3,11,2,8,5,1,3,8,11,E,385
3,3,11,1,7,6,1,3,8,11,E,384
3,4,15,3,8,4,1,3,8,11,N,383
3,5,15,3,9,4,1,3,8,11,N,382
3,6,15,3,9,3,1,3,8,11,N,381
2,6,15,3,9,4,1,3,8,11,W,380
1,6,13,1,9,3,1,3,8,11,W,379
1,6,13,1,9,3,1,3,8,11,W,478
1,7,13,2,7,1,1,3,8,11,N,477
1,8,13,1,9,1,1,3,8,11,N,776
1,9,13,3,9,2,1,3,8,11,N,975
2,9,15,3,6,4,1,3,8,11,E,1074
3,9,15,4,6,4,1,3,8,11,E,1073
4,9,15,4,5,4,1,3,8,11,E,1072
4,8,15,4,5,3,1,3,8,11,S,1071
4,7,15,4,6,1,1,3,8,11,N,1071
1,18,5,5,9,13,1,3,29,19,S,-1
1,18,5,5,9,13,1,3,29,19,S,-2
1,18,5,6,9,14,1,3,29,19,S,-3
1,18,5,6,9,14,1,3,29,19,S,-4
2,18,3,6,9,13,1,3,29,19,E,-5
3,18,3,6,8,13,1,3,29,19,E,-6
4,18,3,6,7,13,1,3,29,19,E,-7
5,18,3,6,8,11,1,3,29,19,E,-8
6,18,3,6,7,11,1,3,29,19,E,-9
7,18,3,6,7,12,1,3,29,19,E,-10
8,18,3,6,7,13,1,3,29,19,E,-11
9,18,3,6,8,13,1,3,29,19,E,-12
10,18,3,6,7,15,1,3,29,19,E,-13
11,18,3,5,7,17,1,3,29,19,E,-14
12,18,3,6,7,17,1,3,29,19,E,-15
13,18,3,6,6,19,1,3,29,19,E,-16
14,18,7,19,3,20,1,3,29,19,E,-17
14,17,13,6,6,19,1,3,29,19,S,-18
14,16,15,20,4,17,1,3,29,19,S,-19
13,16,7,6,7,16,1,3,29,19,W,-20
12,16,7,5,7,16,1,3,29,19,W,-21
11,16,7,5,7,15,1,3,29,19,W,-22
10,16,7,5,6,15,1,3,29,19,W,-23
10,15,15,5,7,13,1,3,29,19,S,-24
10,14,14,5,6,13,1,3,29,19,S,-25
10,13,14,4,6,13,1,3,29,19,S,-26
10,12,15,5,6,11,1,3,29,19,S,-27
10,11,15,5,5,11,1,3,29,19,S,-28
10,10,15,4,5,11,1,3,29,19,S,-29
10,9,15,3,5,11,1,3,29,19,S,-30
10,8,15,5,4,9,1,3,29,19,S,-31
9,8,15,5,4,8,1,3,29,19,W,-32
8,8,13,4,4,8,1,3,29,19,W,-33
8,8,13,4,4,8,1,3,29,19,W,-34
8,7,13,4,3,8,1,3,29,19,S,-35
8,6,15,5,3,6,1,3,29,19,S,-36
7,6,3,4,3,6,1,3,29,19,W,-37
6,6,11,4,3,5,1,3,29,19,W,-38
5,6,15,3,3,5,1,3,29,19,W,-39
4,6,15,3,4,3,1,3,29,19,W,-40
3,6,15,3,3,3,1,3,29,19,W,-41
3,5,15,3,3,2,1,3,29,19,S,-42
3,4,15,3,3,1,1,3,29,19,S,157
3,3,11,6,3,3,1,3,29,19,S,156
4,3,11,6,3,2,1,3,29,19,E,155
5,3,11,6,3,1,1,3,29,19,E,354
6,3,3,15,3,10,1,3,29,19,E,353
7,3,3,15,4,10,1,3,29,19,E,352
8,3,11,16,4,8,1,3,29,19,E,351
9,3,11,16,3,8,1,3,29,19,E,350
10,3,11,16,4,6,1,3,29,19,E,349
10,4,15,16,3,6,1,3,29,19,N,348
10,5,15,15,3,8,1,3,29,19,N,347
10,6,15,16,3,8,1,3,29,19,N,346
10,7,15,15,3,9,1,3,29,19,N,345
10,8,15,18,5,11,1,3,29,19,N,344
10,9,15,18,6,11,1,3,29,19,N,343
10,10,15,18,5,13,1,3,29,19,N,342
10,11,15,17,5,13,1,3,29,19,N,341
10,12,15,17,6,13,1,3,29,19,N,340
11,12,7,16,6,11,1,3,29,19,E,339
12,12,3,15,6,9,1,3,29,19,E,338
13,12,7,15,6,8,1,3,29,19,E,337
14,12,15,16,6,8,1,3,29,19,E,336
14,11,15,15,6,6,1,3,29,19,S,335
14,10,15,15,6,5,1,3,29,19,S,334
14,9,14,15,6,4,1,3,29,19,S,333
14,8,15,15,6,3,1,3,29,19,S,332
14,7,14,16,6,3,1,3,29,19,S,331
14,6,15,15,6,1,1,3,29,19,S,530
15,6,3,18,5,5,1,3,29,19,E,529
16,6,3,18,4,5,1,3,29,19,E,528
17,6,7,19,4,3,1,3,29,19,E,527
18,6,7,18,4,3,1,3,29,19,E,526
19,6,7,19,4,3,1,3,29,19,E,525
19,5,15,18,4,1,1,3,29,19,S,524
19,4,15,18,5,3,1,3,29,19,S,523
19,3,11,18,6,5,1,3,29,19,S,522
18,3,11,17,6,3,1,3,29,19,W,521
17,3,11,17,5,1,1,3,29,19,N,521
1,18,5,5,9,13,1,3,29,19,S,-1
1,18,5,4,9,12,1,3,29,19,S,-2
1,18,5,4,10,11,1,3,29,19,S,-3
1,18,5,5,10,12,1,3,29,19,S,-4
2,18,3,5,10,11,1,3,29,19,E,-5
3,18,3,5,10,10,1,3,29,19,E,-6
4,18,3,5,10,9,1,3,29,19,E,-7
5,18,3,5,9,9,1,3,29,19,E,-8
4,18,3,6,9,11,1,3,29,19,W,-9
3,18,3,6,8,13,1,3,29,19,W,-10
2,18,3,1,7,12,1,3,29,19,W,-11
1,18,5,1,6,12,1,3,29,19,W,-12
1,17,12,1,5,12,1,3,29,19,S,-13
1,16,13,2,5,12,1,3,29,19,S,-14
2,16,7,2,5,11,1,3,29,19,E,-15
3,16,7,3,5,11,1,3,29,19,E,-16
4,16,7,4,7,9,1,3,29,19,E,-17
4,15,15,5,7,9,1,3,29,19,S,-18
4,14,11,5,8,7,1,3,29,19,S,-19
3,14,11,6,8,9,1,3,29,19,W,-20
2,14,11,6,9,9,1,3,29,19,W,-21
1,14,13,6,10,9,1,3,29,19,W,-22
1,14,13,6,10,9,1,3,29,19,W,-23
1,13,12,5,10,7,1,3,29,19,S,-24
1,12,13,5,9,7,1,3,29,19,S,-25
1,11,12,5,8,7,1,3,29,19,S,-26
1,10,12,5,7,7,1,3,29,19,S,-27
1,9,12,4,7,5,1,3,29,19,S,-28
1,8,12,5,7,5,1,3,29,19,S,-29
1,7,12,4,7,3,1,3,29,19,S,-30
1,6,13,2,4,3,1,3,29,19,S,-31
1,5,13,2,3,3,1,3,29,19,S,-32
1,4,13,1,3,1,1,3,29,19,S,167
1,3,9,2,3,1,1,3,29,19,S,366
1,3,9,4,5,5,1,3,29,19,S,365
1,3,9,4,6,6,1,3,29,19,S,364
1,3,9,3,6,5,1,3,29,19,S,363
1,4,13,3,6,4,1,3,29,19,N,362
2,4,15,3,6,3,1,3,29,19,E,361
3,4,15,4,6,3,1,3,29,19,E,360
4,4,15,4,7,3,1,3,29,19,E,359
4,5,15,5,7,3,1,3,29,19,N,358
4,6,15,5,7,2,1,3,29,19,N,557
4,7,15,9,9,8,1,3,29,19,N,556
4,8,15,10,9,6,1,3,29,19,N,555
5,8,15,9,9,6,1,3,29,19,E,554
6,8,14,9,10,6,1,3,29,19,E,553
6,8,14,9,11,6,1,3,29,19,E,552
6,7,14,9,11,6,1,3,29,19,S,551
6,6,11,8,11,7,1,3,29,19,S,550
7,6,3,8,11,6,1,3,29,19,E,549
8,6,15,8,11,4,1,3,29,19,E,548
9,6,15,8,10,6,1,3,29,19,E,547
10,6,15,8,11,6,1,3,29,19,E,546
10,7,15,9,11,6,1,3,29,19,N,545
10,8,15,8,11,4,1,3,29,19,N,544
10,9,15,9,11,4,1,3,29,19,N,543
10,10,15,9,12,3,1,3,29,19,N,542
10,11,15,9,12,3,1,3,29,19,N,541
10,12,15,8,12,1,1,3,29,19,N,541
9,1,3,9,7,6,1,3,19,12,E,-1
9,1,3,9,7,6,1,3,19,12,E,-2
9,1,3,9,7,6,1,3,19,12,E,-3
9,1,3,8,7,7,1,3,19,12,E,-4
9,1,3,9,7,6,1,3,19,12,E,-5
9,1,3,8,7,7,1,3,19,12,E,-6
9,1,3,9,7,6,1,3,19,12,E,93
8,1,3,8,7,6,1,3,19,12,W,192
7,1,3,6,8,8,1,3,19,12,W,291
6,1,9,6,9,8,1,3,19,12,W,290
6,1,9,5,9,9,1,3,19,12,W,389
6,2,12,4,9,9,1,3,19,12,N,488
6,3,15,4,9,8,1,3,19,12,N,587
6,4,14,9,7,6,1,3,19,12,N,686
6,5,14,8,7,4,1,3,19,12,N,785
6,6,14,8,7,3,1,3,19,12,N,884
6,7,15,7,7,1,1,3,19,12,N,983
6,8,12,7,7,2,1,3,19,12,N,1082
6,9,15,7,7,3,1,3,19,12,N,1181
5,9,3,4,11,3,1,3,19,12,W,1280
4,9,11,3,11,3,1,3,19,12,W,1379
3,9,5,2,11,3,1,3,19,12,W,1378
3,9,5,1,11,4,1,3,19,12,W,1377
3,9,5,2,11,3,1,3,19,12,W,1376
4,9,11,2,11,4,1,3,19,12,E,1375
5,9,3,3,11,4,1,3,19,12,E,1374
6,9,15,9,9,3,1,3,19,12,E,1473
6,10,12,9,10,3,1,3,19,12,N,1572
6,11,5,4,11,2,1,3,19,12,N,1571
6,11,5,4,10,3,1,3,19,12,N,1570
6,11,5,4,10,3,1,3,19,12,N,1569
6,11,5,4,9,4,1,3,19,12,N,1568
6,10,12,3,9,4,1,3,19,12,S,1567
6,9,15,3,8,4,1,3,19,12,S,1566
5,9,3,3,9,2,1,3,19,12,W,1565
4,9,11,3,9,1,1,3,19,12,W,1764
3,9,5,9,9,6,1,3,19,12,W,1763
3,9,5,10,9,7,1,3,19,12,W,1862
3,8,12,10,9,8,1,3,19,12,S,1961
3,7,15,10,9,9,1,3,19,12,S,2060
4,7,7,10,9,8,1,3,19,12,E,2159
5,7,7,10,10,8,1,3,19,12,E,2158
