@RELATION pacmanGameStates

@ATTRIBUTE numActions NUMERIC
@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE numFood NUMERIC
@ATTRIBUTE distFood NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE futureScore NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E,X}

@DATA
106,3,7,31,1,10,5,0,0,495,494,W
107,2,7,31,2,10,3,0,0,494,493,W
108,1,7,27,2,11,5,0,0,493,492,W
109,1,8,27,2,10,3,0,0,492,491,N
110,1,9,27,2,9,1,0,0,491,491,X
1,1,3,19,2,8,6,5,2,0,-1,X
2,1,3,19,1,8,5,5,2,-1,-2,X
3,1,3,19,1,8,5,5,2,-2,-3,X
4,1,3,19,1,9,6,5,2,-3,-4,X
5,1,3,19,1,9,6,5,2,-4,-5,X
6,1,3,19,2,9,7,5,2,-5,-6,X
7,1,4,27,2,8,5,5,3,-6,-7,N
8,1,3,19,2,7,5,5,2,-7,-8,S
9,1,4,27,2,7,4,5,3,-8,-9,N
10,1,5,27,2,7,3,5,2,-9,-10,N
11,1,6,27,1,7,1,5,1,-10,289,N
12,1,7,27,2,7,1,4,2,289,688,N
13,2,7,31,5,8,4,4,3,688,687,E
14,3,7,31,5,9,4,4,2,687,686,E
15,4,7,31,6,9,4,4,3,686,685,E
16,4,8,31,5,9,2,4,2,685,684,N
17,4,9,31,5,8,2,4,1,684,683,N
18,5,9,31,5,7,2,4,2,683,682,E
19,6,9,31,6,7,2,4,3,682,681,E
20,6,8,31,6,7,1,4,4,681,681,X
1,1,18,11,5,9,13,0,0,0,-1,X
2,1,18,11,6,9,14,0,0,-1,-2,X
3,1,18,11,6,10,13,0,0,-2,-3,X
4,1,18,11,6,9,14,0,0,-3,-4,X
5,1,18,11,6,9,14,0,0,-4,-5,X
6,1,18,11,5,9,13,0,0,-5,-6,X
7,1,18,11,5,8,14,0,0,-6,-7,X
8,1,17,25,5,8,13,0,0,-7,-8,S
9,1,16,27,6,8,13,0,0,-8,-9,S
10,1,15,27,6,9,11,0,0,-9,-10,S
11,1,14,27,6,9,10,0,0,-10,-11,S
12,1,13,25,5,9,8,0,0,-11,-12,S
13,1,12,27,4,9,6,0,0,-12,-13,S
14,1,11,25,5,9,6,0,0,-13,-14,S
15,1,10,25,5,10,4,0,0,-14,-15,S
16,1,9,25,6,10,6,0,0,-15,-16,S
17,1,8,25,6,9,6,0,0,-16,-17,S
18,1,7,25,6,10,8,0,0,-17,-18,S
19,1,6,27,6,10,9,0,0,-18,-19,S
20,2,6,15,6,10,8,0,0,-19,-20,E
21,3,6,31,6,9,6,0,0,-20,-21,E
22,4,6,31,6,9,5,0,0,-21,-22,E
23,4,7,31,5,9,3,0,0,-22,-23,N
24,4,8,31,5,9,2,0,0,-23,-24,N
25,5,8,31,4,9,2,0,0,-24,-25,E
26,6,8,29,5,9,2,0,0,-25,-26,E
